Threads,Function,Average Time
1,1,108.05
1,2,356.06
1,3,44.73
2,1,59.15
2,2,189.86
2,3,23.38
3,1,42.17
3,2,145.39
3,3,18.51
4,1,37.83
4,2,114.84
4,3,15.17
5,1,34.45
5,2,95.19
5,3,11.13
6,1,26.48
6,2,89.06
6,3,10.93
7,1,27.72
7,2,88.67
7,3,10.87
8,1,24.4
8,2,83.25
8,3,10.02
9,1,24.07
9,2,80.54
9,3,9.33
10,1,24.08
10,2,77.63
10,3,9.36
11,1,23.3
11,2,75.7
11,3,10.17
12,1,22.27
12,2,76.63
12,3,8.51
13,1,23.69
13,2,82.41
13,3,11.71
14,1,23.73
14,2,83.54
14,3,11.12
15,1,23.1
15,2,77.27
15,3,11.02
16,1,23.22
16,2,75.44
16,3,9.56
100,1,22.67
100,2,
100,3,
1000,1,
1000,2,
1000,3,
